time(ms),error signal,control signal,feedback signal
1967,1.39266e-12,175,175
1970,1.25056e-12,175,175
1974,9.66338e-13,175,175
1977,8.2423e-13,175,175
1980,6.82121e-13,175,175
1984,5.40012e-13,175,175
1987,4.54747e-13,175,175
1990,3.69482e-13,175,175
1994,3.12639e-13,175,175
1997,2.27374e-13,175,175
2000,2.27374e-13,175,175
2004,1.7053e-13,175,175
2007,1.13687e-13,175,175
2008,1.42109e-13,175,175
2011,8.52651e-14,175,175
2015,8.52651e-14,175,175
2016,2.84217e-14,175,175
2019,5.68434e-14,175,175
2022,5.68434e-14,175,175
2026,5.68434e-14,175,175
2029,5.68434e-14,175,175
2032,5.68434e-14,175,175
2036,5.68434e-14,175,175
2039,5.68434e-14,175,175
2042,5.68434e-14,175,175
2046,5.68434e-14,175,175
2049,5.68434e-14,175,175
2052,5.68434e-14,175,175
2056,5.68434e-14,175,175
2059,5.68434e-14,175,175
2062,5.68434e-14,175,175
2066,5.68434e-14,175,175
2069,5.68434e-14,175,175
2072,5.68434e-14,175,175
2076,5.68434e-14,175,175
2079,5.68434e-14,175,175
2082,5.68434e-14,175,175
2086,5.68434e-14,175,175
2089,5.68434e-14,175,175
2093,5.68434e-14,175,175
2096,5.68434e-14,175,175
2099,5.68434e-14,175,175
2103,5.68434e-14,175,175
2106,5.68434e-14,175,175
2109,5.68434e-14,175,175
2113,5.68434e-14,175,175
2116,5.68434e-14,175,175
2120,5.68434e-14,175,175
2123,5.68434e-14,175,175
2126,5.68434e-14,175,175
2130,5.68434e-14,175,175
2133,5.68434e-14,175,175
2136,5.68434e-14,175,175
2140,5.68434e-14,175,175
2143,5.68434e-14,175,175
2146,5.68434e-14,175,175
2150,5.68434e-14,175,175
2153,5.68434e-14,175,175
2156,5.68434e-14,175,175
2160,5.68434e-14,175,175
2163,5.68434e-14,175,175
2166,5.68434e-14,175,175
2170,5.68434e-14,175,175
2173,5.68434e-14,175,175
2176,5.68434e-14,175,175
2180,5.68434e-14,175,175
2183,5.68434e-14,175,175
2186,5.68434e-14,175,175
2190,5.68434e-14,175,175
2193,5.68434e-14,175,175
2196,5.68434e-14,175,175
2200,5.68434e-14,175,175
2203,5.68434e-14,175,175
2206,5.68434e-14,175,175
2210,5.68434e-14,175,175
2213,5.68434e-14,175,175
2216,5.68434e-14,175,175
2220,5.68434e-14,175,175
2223,5.68434e-14,175,175
2226,5.68434e-14,175,175
2230,5.68434e-14,175,175
2233,5.68434e-14,175,175
2236,5.68434e-14,175,175
2240,5.68434e-14,175,175
2243,5.68434e-14,175,175
2246,5.68434e-14,175,175
2250,5.68434e-14,175,175
2253,5.68434e-14,175,175
2256,5.68434e-14,175,175
2260,5.68434e-14,175,175
2263,5.68434e-14,175,175
2266,5.68434e-14,175,175
2270,5.68434e-14,175,175
2273,5.68434e-14,175,175
2276,5.68434e-14,175,175
2280,5.68434e-14,175,175
2283,5.68434e-14,175,175
2287,5.68434e-14,175,175
2290,5.68434e-14,175,175
2293,5.68434e-14,175,175
2297,5.68434e-14,175,175
2300,5.68434e-14,175,175
2303,5.68434e-14,175,175
2307,5.68434e-14,175,175
2310,5.68434e-14,175,175
2313,5.68434e-14,175,175
2317,5.68434e-14,175,175
2320,5.68434e-14,175,175
2323,5.68434e-14,175,175
2327,5.68434e-14,175,175
2330,5.68434e-14,175,175
2333,5.68434e-14,175,175
2337,5.68434e-14,175,175
2340,5.68434e-14,175,175
2343,5.68434e-14,175,175
2347,5.68434e-14,175,175
2350,5.68434e-14,175,175
2353,5.68434e-14,175,175
2357,5.68434e-14,175,175
2360,5.68434e-14,175,175
2363,5.68434e-14,175,175
2367,5.68434e-14,175,175
2370,5.68434e-14,175,175
2373,5.68434e-14,175,175
2377,5.68434e-14,175,175
2380,5.68434e-14,175,175
2383,5.68434e-14,175,175
2387,5.68434e-14,175,175
2390,5.68434e-14,175,175
2393,5.68434e-14,175,175
2397,5.68434e-14,175,175
2400,5.68434e-14,175,175
2403,5.68434e-14,175,175
2407,5.68434e-14,175,175
2410,5.68434e-14,175,175
2413,5.68434e-14,175,175
2417,5.68434e-14,175,175
2420,5.68434e-14,175,175
2423,5.68434e-14,175,175
2427,5.68434e-14,175,175
2430,5.68434e-14,175,175
2433,5.68434e-14,175,175
2437,5.68434e-14,175,175
2440,5.68434e-14,175,175
2443,5.68434e-14,175,175
2447,5.68434e-14,175,175
2450,5.68434e-14,175,175
2453,5.68434e-14,175,175
2457,5.68434e-14,175,175
2460,5.68434e-14,175,175
2464,5.68434e-14,175,175
2467,5.68434e-14,175,175
2470,5.68434e-14,175,175
2474,5.68434e-14,175,175
2477,5.68434e-14,175,175
2480,5.68434e-14,175,175
2484,5.68434e-14,175,175
2487,5.68434e-14,175,175
2490,5.68434e-14,175,175
2494,5.68434e-14,175,175
2497,5.68434e-14,175,175
2500,5.68434e-14,175,175
2504,5.68434e-14,175,175
2507,5.68434e-14,175,175
2510,5.68434e-14,175,175
2514,5.68434e-14,175,175
2517,5.68434e-14,175,175
2520,5.68434e-14,175,175
2524,5.68434e-14,175,175
2527,5.68434e-14,175,175
2530,5.68434e-14,175,175
2534,5.68434e-14,175,175
2537,5.68434e-14,175,175
2540,5.68434e-14,175,175
2544,5.68434e-14,175,175
2547,5.68434e-14,175,175
2550,5.68434e-14,175,175
2554,5.68434e-14,175,175
2557,5.68434e-14,175,175
2560,5.68434e-14,175,175
2564,5.68434e-14,175,175
2567,5.68434e-14,175,175
2570,5.68434e-14,175,175
2574,5.68434e-14,175,175
2577,5.68434e-14,175,175
2580,5.68434e-14,175,175
2584,5.68434e-14,175,175
2587,5.68434e-14,175,175
2590,5.68434e-14,175,175
2594,5.68434e-14,175,175
2597,5.68434e-14,175,175
2600,5.68434e-14,175,175
2604,5.68434e-14,175,175
2607,5.68434e-14,175,175
2610,5.68434e-14,175,175
2614,5.68434e-14,175,175
2617,5.68434e-14,175,175
2620,5.68434e-14,175,175
2624,5.68434e-14,175,175
2627,5.68434e-14,175,175
2630,5.68434e-14,175,175
2634,5.68434e-14,175,175
2637,5.68434e-14,175,175
2640,5.68434e-14,175,175
2644,5.68434e-14,175,175
2647,5.68434e-14,175,175
2650,5.68434e-14,175,175
2654,5.68434e-14,175,175
2657,5.68434e-14,175,175
2661,5.68434e-14,175,175
2664,5.68434e-14,175,175
2667,5.68434e-14,175,175
2671,5.68434e-14,175,175
2674,5.68434e-14,175,175
2677,5.68434e-14,175,175
2681,5.68434e-14,175,175
2684,5.68434e-14,175,175
2687,5.68434e-14,175,175
2691,5.68434e-14,175,175
2694,5.68434e-14,175,175
2697,5.68434e-14,175,175
2701,5.68434e-14,175,175
2704,5.68434e-14,175,175
2707,5.68434e-14,175,175
2711,5.68434e-14,175,175
2714,5.68434e-14,175,175
2717,5.68434e-14,175,175
2721,5.68434e-14,175,175
2724,5.68434e-14,175,175
2727,5.68434e-14,175,175
2731,5.68434e-14,175,175
2734,5.68434e-14,175,175
2737,5.68434e-14,175,175
2741,5.68434e-14,175,175
2744,5.68434e-14,175,175
2747,5.68434e-14,175,175
2751,5.68434e-14,175,175
2754,5.68434e-14,175,175
2757,5.68434e-14,175,175
2761,5.68434e-14,175,175
2764,5.68434e-14,175,175
2767,5.68434e-14,175,175
2771,5.68434e-14,175,175
2774,5.68434e-14,175,175
2777,5.68434e-14,175,175
2781,5.68434e-14,175,175
2784,5.68434e-14,175,175
2787,5.68434e-14,175,175
2791,5.68434e-14,175,175
2794,5.68434e-14,175,175
2797,5.68434e-14,175,175
2801,5.68434e-14,175,175
2804,5.68434e-14,175,175
2807,5.68434e-14,175,175
2811,5.68434e-14,175,175
2814,5.68434e-14,175,175
2817,5.68434e-14,175,175
2821,5.68434e-14,175,175
2824,5.68434e-14,175,175
2827,5.68434e-14,175,175
2831,5.68434e-14,175,175
2834,5.68434e-14,175,175
2837,5.68434e-14,175,175
2841,5.68434e-14,175,175
2844,5.68434e-14,175,175
2847,5.68434e-14,175,175
2851,5.68434e-14,175,175
2854,5.68434e-14,175,175
2857,5.68434e-14,175,175
2861,5.68434e-14,175,175
2864,5.68434e-14,175,175
2867,5.68434e-14,175,175
2871,5.68434e-14,175,175
2874,5.68434e-14,175,175
2877,5.68434e-14,175,175
2881,5.68434e-14,175,175
2884,5.68434e-14,175,175
2887,5.68434e-14,175,175
2891,5.68434e-14,175,175
2894,5.68434e-14,175,175
2897,5.68434e-14,175,175
2901,50,220.5,220.5
2904,4.5,194.05,194.05
2907,30.95,219.205,219.205
2910,5.795,205.85,205.85
2913,19.1495,219.608,219.608
2917,5.39195,212.971,212.971
2920,12.0289,220.562,220.562
2923,4.43806,217.339,217.339
2925,7.66114,221.571,221.571
2929,3.42895,220.06,220.06
2932,4.93958,222.449,222.449
2932,2.55133,221.781,221.781
2935,3.21888,223.147,223.147
2938,1.85268,222.883,222.883
2941,2.1166,223.677,223.677
2944,1.32327,223.598,223.598
2947,1.40229,224.066,224.066
2951,0.934191,224.065,224.065
2954,0.93479,224.346,224.346
2955,0.653994,224.374,224.374
2957,0.626274,224.545,224.545
2960,0.455024,224.579,224.579
2963,0.421266,224.685,224.685
2967,0.315141,224.716,224.716
2970,0.284274,224.782,224.782
2973,0.217512,224.808,224.808
2976,0.192316,224.85,224.85
2980,0.149739,224.87,224.87
2983,0.130363,224.897,224.897
2986,0.10288,224.911,224.911
2990,0.0885059,224.929,224.929
2993,0.0705783,224.94,224.94
2996,0.0601614,224.952,224.952
3000,0.0483631,224.959,224.959
3003,0.0409331,224.967,224.967
3006,0.0331112,224.972,224.972
3010,0.027871,224.977,224.977
3012,0.0226538,224.981,224.981
3016,0.018988,224.985,224.985
3019,0.0154911,224.987,224.987
3022,0.0129419,224.989,224.989
3025,0.0105888,224.991,224.991
3029,0.00882402,224.993,224.993
3032,0.00723571,224.994,224.994
3035,0.00601798,224.995,224.995
3039,0.00494322,224.996,224.996
3042,0.00410511,224.997,224.997
3045,0.00337644,224.997,224.997
3049,0.00280071,224.998,224.998
3052,0.00230594,224.998,224.998
3055,0.00191102,224.998,224.998
3059,0.00157466,224.999,224.999
3062,0.00130408,224.999,224.999
3065,0.00107521,224.999,224.999
3069,0.000889968,224.999,224.999
3072,0.000734121,224.999,224.999
3075,0.000607393,224.999,224.999
3079,0.000501212,225,225
3082,0.000414557,225,225
3085,0.000342183,225,225
3089,0.000282952,225,225
3092,0.000233605,225,225
3095,0.000193132,225,225
3099,0.000159476,225,225
3102,0.000131827,225,225
3105,0.000108868,225,225
3109,8.99829e-05,225,225
3112,7.43193e-05,225,225
3115,6.14217e-05,225,225
3119,5.07338e-05,225,225
3122,4.19264e-05,225,225
3125,3.46329e-05,225,225
3129,2.86191e-05,225,225
3132,2.36416e-05,225,225
3135,1.95356e-05,225,225
3139,1.61386e-05,225,225
3142,1.33352e-05,225,225
3145,1.10167e-05,225,225
3149,9.10281e-06,225,225
3152,7.52027e-06,225,225
3155,6.21371e-06,225,225
3159,5.13353e-06,225,225
3162,4.24158e-06,225,225
3165,3.50428e-06,225,225
3169,2.89538e-06,225,225
3172,2.3921e-06,225,225
3175,1.97644e-06,225,225
3179,1.63291e-06,225,225
3182,1.34915e-06,225,225
3185,1.11466e-06,225,225
3189,9.20957e-07,225,225
3192,7.60891e-07,225,225
3195,6.28664e-07,225,225
3199,5.19401e-07,225,225
3202,4.29138e-07,225,225
3205,3.54554e-07,225,225
3209,2.92938e-07,225,225
3212,2.42027e-07,225,225
3216,1.99966e-07,225,225
3219,1.65212e-07,225,225
3222,1.36501e-07,225,225
3226,1.12778e-07,225,225
3229,9.31781e-08,225,225
3232,7.69844e-08,225,225
3236,6.36053e-08,225,225
3239,5.25512e-08,225,225
3242,4.34183e-08,225,225
3246,3.58725e-08,225,225
3249,2.96382e-08,225,225
3252,2.44873e-08,225,225
3256,2.02317e-08,225,225
3259,1.67155e-08,225,225
