time(ms),error signal,control signal,feedback signal
2244,5.68434e-14,255,255
2248,5.68434e-14,255,255
2252,5.68434e-14,255,255
2256,5.68434e-14,255,255
2260,5.68434e-14,255,255
2264,5.68434e-14,255,255
2268,5.68434e-14,255,255
2272,5.68434e-14,255,255
2276,5.68434e-14,255,255
2280,5.68434e-14,255,255
2284,5.68434e-14,255,255
2288,5.68434e-14,255,255
2292,5.68434e-14,255,255
2296,5.68434e-14,255,255
2300,5.68434e-14,255,255
2304,5.68434e-14,255,255
2308,5.68434e-14,255,255
2312,5.68434e-14,255,255
2316,5.68434e-14,255,255
2320,5.68434e-14,255,255
2324,5.68434e-14,255,255
2328,5.68434e-14,255,255
2331,5.68434e-14,255,255
2335,5.68434e-14,255,255
2339,5.68434e-14,255,255
2343,5.68434e-14,255,255
2347,5.68434e-14,255,255
2351,5.68434e-14,255,255
2355,5.68434e-14,255,255
2359,5.68434e-14,255,255
2363,5.68434e-14,255,255
2367,5.68434e-14,255,255
2371,5.68434e-14,255,255
2375,5.68434e-14,255,255
2379,5.68434e-14,255,255
2383,5.68434e-14,255,255
2387,5.68434e-14,255,255
2391,5.68434e-14,255,255
2395,5.68434e-14,255,255
2399,5.68434e-14,255,255
2403,5.68434e-14,255,255
2407,5.68434e-14,255,255
2411,5.68434e-14,255,255
2415,5.68434e-14,255,255
2419,5.68434e-14,255,255
2423,5.68434e-14,255,255
2427,5.68434e-14,255,255
2431,5.68434e-14,255,255
2435,5.68434e-14,255,255
2439,5.68434e-14,255,255
2443,5.68434e-14,255,255
2447,5.68434e-14,255,255
2451,5.68434e-14,255,255
2455,5.68434e-14,255,255
2459,5.68434e-14,255,255
2463,5.68434e-14,255,255
2467,5.68434e-14,255,255
2471,5.68434e-14,255,255
2475,5.68434e-14,255,255
2478,5.68434e-14,255,255
2482,5.68434e-14,255,255
2486,5.68434e-14,255,255
2490,5.68434e-14,255,255
2494,5.68434e-14,255,255
2498,5.68434e-14,255,255
2502,5.68434e-14,255,255
2506,5.68434e-14,255,255
2510,5.68434e-14,255,255
2514,5.68434e-14,255,255
2518,5.68434e-14,255,255
2522,5.68434e-14,255,255
2526,5.68434e-14,255,255
2530,5.68434e-14,255,255
2534,5.68434e-14,255,255
2538,5.68434e-14,255,255
2542,5.68434e-14,255,255
2546,5.68434e-14,255,255
2550,5.68434e-14,255,255
2554,5.68434e-14,255,255
2558,5.68434e-14,255,255
2562,5.68434e-14,255,255
2566,5.68434e-14,255,255
2570,5.68434e-14,255,255
2574,5.68434e-14,255,255
2578,5.68434e-14,255,255
2582,5.68434e-14,255,255
2586,5.68434e-14,255,255
2590,5.68434e-14,255,255
2594,5.68434e-14,255,255
2598,5.68434e-14,255,255
2602,5.68434e-14,255,255
2606,5.68434e-14,255,255
2610,5.68434e-14,255,255
2614,5.68434e-14,255,255
2618,5.68434e-14,255,255
2622,5.68434e-14,255,255
2626,5.68434e-14,255,255
2630,5.68434e-14,255,255
2634,5.68434e-14,255,255
2638,5.68434e-14,255,255
2642,5.68434e-14,255,255
2646,5.68434e-14,255,255
2650,5.68434e-14,255,255
2654,5.68434e-14,255,255
2658,5.68434e-14,255,255
2662,5.68434e-14,255,255
2666,5.68434e-14,255,255
2670,5.68434e-14,255,255
2674,5.68434e-14,255,255
2678,5.68434e-14,255,255
2682,5.68434e-14,255,255
2686,5.68434e-14,255,255
2690,5.68434e-14,255,255
2694,5.68434e-14,255,255
2698,5.68434e-14,255,255
2702,5.68434e-14,255,255
2706,5.68434e-14,255,255
2710,5.68434e-14,255,255
2714,5.68434e-14,255,255
2718,5.68434e-14,255,255
2722,5.68434e-14,255,255
2726,5.68434e-14,255,255
2730,5.68434e-14,255,255
2734,5.68434e-14,255,255
2738,5.68434e-14,255,255
2742,5.68434e-14,255,255
2746,5.68434e-14,255,255
2750,5.68434e-14,255,255
2754,5.68434e-14,255,255
2758,5.68434e-14,255,255
2762,5.68434e-14,255,255
2766,5.68434e-14,255,255
2770,5.68434e-14,255,255
2774,5.68434e-14,255,255
2778,5.68434e-14,255,255
2782,5.68434e-14,255,255
2786,5.68434e-14,255,255
2790,5.68434e-14,255,255
2794,5.68434e-14,255,255
2798,5.68434e-14,255,255
2802,5.68434e-14,255,255
2806,5.68434e-14,255,255
2810,5.68434e-14,255,255
2815,5.68434e-14,255,255
2819,5.68434e-14,255,255
2823,5.68434e-14,255,255
2827,5.68434e-14,255,255
2831,5.68434e-14,255,255
2835,5.68434e-14,255,255
2839,5.68434e-14,255,255
2843,5.68434e-14,255,255
2847,5.68434e-14,255,255
2851,5.68434e-14,255,255
2855,5.68434e-14,255,255
2859,5.68434e-14,255,255
2863,5.68434e-14,255,255
2867,5.68434e-14,255,255
2871,5.68434e-14,255,255
2875,5.68434e-14,255,255
2879,5.68434e-14,255,255
2883,5.68434e-14,255,255
2887,5.68434e-14,255,255
2891,5.68434e-14,255,255
2895,5.68434e-14,255,255
2899,5.68434e-14,255,255
2903,5.68434e-14,255,255
2907,5.68434e-14,255,255
2911,5.68434e-14,255,255
2915,5.68434e-14,255,255
2919,5.68434e-14,255,255
2923,5.68434e-14,255,255
2927,5.68434e-14,255,255
2931,5.68434e-14,255,255
2935,5.68434e-14,255,255
2939,5.68434e-14,255,255
2943,5.68434e-14,255,255
2947,5.68434e-14,255,255
2951,5.68434e-14,255,255
2955,5.68434e-14,255,255
2959,5.68434e-14,255,255
2963,5.68434e-14,255,255
2967,5.68434e-14,255,255
2971,5.68434e-14,255,255
2975,5.68434e-14,255,255
2979,5.68434e-14,255,255
2983,5.68434e-14,255,255
2987,5.68434e-14,255,255
